"Supplementary Table 1. All samples used in this study and metadata. A total of 154 samples were subjected to sequencing and growth modelling. Two of them were excluded in any genetic analysis due to their low sequencing depth. ""Otolith radius in mm"" is the legnth from otolith core to the edge and ""distance_min_x"" are the distance from the core to the chemical annuli (minima) for each age estimate. ""chemAge"" is the estimated age from the age reading protocol. ""sample.type"" shows the assignment of the sample type ""random"" and ""phenotype"" according to the sampling desgin described in section 3.1. The samples were grouped into ""bins"" according to the catch year for growth modeling. The ""phenotype"" samples from 1996-1998 were grouped together with ""random"" samples from 1996 in ""bin1"". For all the genetic analysis, ""SequencingName"" were used and matched with ""fishID"" for metadata.  ",,,,,,,,,,,,,,,,,,,,,,,,
fishID,catch.year,length in mm,sex,maturity,otolith radius in mm,chemAge,distance_min_1,distance_min_2,distance_min_3,distance_min_4,distance_min_5,distance_min_6,distance_min_7,sample.type,bins,SequencingName,,,,,,,,
AL097_334,1996,420,F,1,3.211704,3,0.7882197,1.9999617,3.10577,NA,NA,NA,NA,pheno,bin1,104-104-AL097-334_S50_L004,,,,,,,,
AL097_430,1996,260,M,4,2.3528964,3,0.439680788,1.319046909,2.270547,NA,NA,NA,NA,pheno,bin1,75-75-AL097-430_S21_L004,,,,,,,,
AL097_552,1996,410,M,1,3.30582,4,0.661166018,1.385672,2.231428877,2.786335818,NA,NA,NA,pheno,bin1,83-83-AL097-552_S29_L004,,,,,,,,
AL099_189,1996,460,F,1,4.317564,7,0.816197375,1.466789481,2.259326806,2.850775876,3.31210568,NA,NA,pheno,bin1,39-39-AL099-189_S39_L004,,,,,,,,
AL099_326,1996,270,M,5,2.1646641,3,0.4941093,1.423503,2.01172563,NA,NA,NA,NA,pheno,bin1,64-64-AL099-326_S10_L004,,,,,,,,
AL099_328,1996,400,F,1,2.9293566,3,0.5646945,2.1999582,2.70583023,NA,NA,NA,NA,pheno,bin1,102-102-AL099-328_S48_L004,,,,,,,,
AL099_344,1996,310,M,5,2.5175976,3,0.399993,1.2470361,2.35289643,NA,NA,NA,NA,random,bin1,65-65-AL099-344_S11_L004,,,,,,,,
AL099_35,1996,890,F,6,5.450875,5,0.49018495,1.39213,2.86269,4.27443,5.058725,NA,NA,random,bin1,J32532-_L1_S1_L002,,,,,,,,
AL099_37,1996,1040,F,6,5.929299,6,0.70587,2.776419,3.6587559,4.5410901,5.1251896,5.7754189,NA,random,bin1,J32533-_L1_S2_L001,,,,,,,,
AL099_577,1996,570,F,6,3.835218,3,0.700547315,2.64784067,3.775258,NA,NA,NA,NA,random,bin1,100-100-AL099-577_S46_L004,,,,,,,,
AL099_591,1996,350,M,7,2.541129,4,0.484587581,1.004636149,1.678331314,2.475258,NA,NA,NA,random,bin1,22-22-AL099-591_S22_L004,,,,,,,,
AL099_597,1996,530,M,6,4.258746,4,1.047039,2.294076,3.5411103,4.185647,NA,NA,NA,random,bin1,38-38-AL099-597_S38_L004,,,,,,,,
AL099_600,1996,340,M,6,3.199941,4,0.329406,1.2588003,2.105844,2.847006,NA,NA,NA,random,bin1,47-47-AL099-600_S47_L004,,,,,,,,
AL099_602,1996,270,M,6,2.4705438,3,0.7529295,1.2352734,1.5293817,NA,NA,NA,NA,pheno,bin1,53-53-AL099-602_S53_L004,,,,,,,,
AL099_613,1996,580,F,6,3.92934,3,0.623517,2.4705417,3.450258,NA,NA,NA,NA,random,bin1,J32535-_L1_S3_L002,,,,,,,,
AL099_621,1996,630,M,7,4.599915,6,0.413873071,1.064247408,2.38273266,3.068580604,3.783991621,4.245165247,NA,random,bin1,61-61-AL099-621_S7_L004,,,,,,,,
AL099_630,1996,430,M,6,3.517578,3,0.56658542,1.085960329,2.679497306,NA,NA,NA,NA,random,bin1,4-04-AL099-630_S4_L004,,,,,,,,
AL099_636,1996,620,M,7,4.8430445,5,0.6666505,1.1764455,2.1372095,3.1450465,4.0783495,NA,NA,random,bin1,J32536-_L1_S4_L002,,,,,,,,
AL099_78,1996,560,M,6,4.411681,6,0.45097045,1.1176255,1.68624,2.4901455,3.313661,3.7058095,NA,random,bin1,J32534-_L1_S2_L002,,,,,,,,
AL101_105,1996,570,F,7,4.623444,5,0.601518732,2.193776675,3.290665614,3.915776082,4.550167,NA,NA,random,bin1,70-70-AL101-105_S16_L004,,,,,,,,
AL101_114,1996,580,F,7,4.599912,6,0.823515,1.435269,2.141136,2.8411237,3.646989,4.5,NA,random,bin1,99-99-AL101-114_S45_L004,,,,,,,,
AL101_185,1996,590,M,6,4.282269,6,0.450765929,1.328570843,2.052166361,2.882524952,3.6298459,4.2,NA,random,bin1,20-20-AL101-185_S20_L004,,,,,,,,
AL101_214,1996,540,F,8,3.164646,4,0.697809716,1.564543397,2.323111806,3.1,NA,NA,NA,random,bin1,J32537-_L1_S5_L002,,,,,,,,
AL101_287,1996,460,M,7,3.682284,4,0.482346,0.988218,2.5058343,3.6,NA,NA,NA,random,bin1,J32538-_L1_S6_L002,,,,,,,,
AL101_288,1996,550,F,6,4.388151,7,0.594601249,1.117850348,1.95028967,2.473538466,3.24652009,3.853009118,4.102741642,random,bin1,J32539-_L1_S8_L001,,,,,,,,
AL101_344,1996,430,F,7,3.670518,4,1.1411547,1.741143,2.8352406,3.6,NA,NA,NA,random,bin1,J32542-_L1_S9_L002,,,,,,,,
AL101_422,1996,560,F,7,3.905811,5,0.835278,1.470564,2.1764283,2.7528929,3.71757858,NA,NA,random,bin1,J32543-_L1_S10_L002,,,,,,,,
AL101_423,1996,480,F,7,3.435228,3,0.8470425,1.8940806,3.24699558,NA,NA,NA,NA,random,bin1,J32544-_L1_S11_L002,,,,,,,,
AL101_430,1996,540,F,7,4.25874,6,0.532341667,1.005538617,1.940091808,2.489621822,3.111246793,3.927502105,NA,random,bin1,77-77-AL101-430_S23_L004,,,,,,,,
AL101_434,1996,430,M,7,2.9175936,5,0.462548792,1.079270837,1.897623088,2.039940722,2.407611293,NA,NA,random,bin1,25-25-AL101-434_S25_L004,,,,,,,,
AL101_442,1996,800,F,7,5.305779,6,0.673561984,1.890701522,2.812416969,3.521431169,3.94683969,4.774019609,NA,random,bin1,J32545-_L1_S12_L002,,,,,,,,
AL101_504,1996,460,F,7,3.70581,4,0.57012551,1.045227073,2.316130644,3.539523029,NA,NA,NA,random,bin1,26-26-AL101-504_S26_L004,,,,,,,,
AL101_523,1996,650,F,7,4.599912,5,0.614899376,1.288922183,2.636967799,3.748516972,4.4,NA,NA,random,bin1,J32546-_L1_S13_L002,,,,,,,,
AL101_546,1996,500,M,1,3.449085,4,0.6470439,1.5058527,2.6843898,3.28437795,NA,NA,NA,pheno,bin1,76-76-AL101-546_S22_L004,,,,,,,,
AL101_595,1996,470,M,7,3.352878,4,0.28334228,1.097950431,2.184092526,3.093147742,NA,NA,NA,random,bin1,69-69-AL101-595_S15_L004,,,,,,,,
AL101_623,1996,220,M,6,2.235252,3,0.3882306,1.1764512,1.8940839,NA,NA,NA,NA,pheno,bin1,95-95-AL101-623_S41_L004,,,,,,,,
AL101_679,1996,510,F,7,3.4313135,4,0.2941162,1.2744875,2.0391795,2.8234765,NA,NA,NA,random,bin1,J32547-_L1_S14_L002,,,,,,,,
AL111_235,1997,270,M,5,2.3293683,2,0.76450917,2.126296225,NA,NA,NA,NA,NA,pheno,bin1,81-81-AL111-235_S27_L004,,,,,,,,
AL111_28,1997,430,F,1,3.423462,4,0.521222435,1.149051534,2.025651062,3.008856348,NA,NA,NA,pheno,bin1,67-67-AL111-28_S13_L004,,,,,,,,
AL114_826,1997,340,F,5,3.30582,3,0.864963647,2.322368675,3.2,NA,NA,NA,NA,pheno,bin1,13-13-AL114-826_S13_L004,,,,,,,,
AL114_868,1997,350,F,4,3.246996,3,0.817674199,2.287117683,3.128492023,NA,NA,NA,NA,pheno,bin1,5-05-AL114-868_S5_L004,,,,,,,,
